RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020
270958,3,Upper West Side,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,New York County,1290079,1278523,1280139,1266046,1262482,1253567,1245653,1231122,1218079,1211863,1214994,1223361,1223522,1218477,1207736,1208018
270957,5,Upper East Side,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,New York County,957125,950697,953592,950928,951278,945871,943890,943323,941689,939559,938245,938958,938388,939042,932658,930498
194430,9,East New York,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Kings County,477839,477654,478699,481024,483801,485286,485335,485671,487120,487978,489206,490597,494343,498805,503472,507712
198687,11,Washington Heights,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,New York County,599515,595929,594111,590953,591383,589899,586022,582360,574867,568781,564991,560923,556293,551425,546846,542495
272816,14,Astoria,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Queens County,648120,649654,652053,651494,650255,647284,647174,647857,648439,648451,647437,648020,649250,650636,650432,651140
272902,16,Bedford Stuyvesant,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Kings County,1003753,999926,1001778,1006460,1008515,1007328,1006172,1001258,998342,997364,996043,998775,1002386,1009051,1014600,1019247
199001,17,Williamsburg,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Kings County,906815,903707,905982,908844,913771,911556,907398,901782,899275,896055,890514,890170,892065,898366,902106,906077
194737,20,Flatbush,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Kings County,599537,609715,619163,623279,620470,620202,618828,617392,617872,615860,613128,609859,605882,599465,593575,590485
403222,23,Crown Heights,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Kings County,911378,907652,906042,905903,904854,900012,896892,890753,889841,887687,884827,880038,879227,880023,880976,881469
25294,24,Jamaica,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Queens County,494547,496451,497434,497591,497236,495259,493471,492636,492389,493290,493903,494303,494431,495360,496176,497511
